ethn.wife,ethn.husband,age.wife,Freq,city
Tabasaran,Laki,>50,0,Makhachkala
Tabasaran,Laki,36-50,41,Makhachkala
Tabasaran,Laki,16-35,50,Makhachkala
Tabasaran,Russian,>50,0,Makhachkala
Tabasaran,Russian,36-50,13,Makhachkala
Tabasaran,Russian,16-35,10,Makhachkala
Tabasaran,Tabasaran,>50,796,Makhachkala
Tabasaran,Tabasaran,36-50,2060,Makhachkala
Tabasaran,Tabasaran,16-35,2311,Makhachkala
Tabasaran,Nogai,>50,0,Makhachkala
Tabasaran,Nogai,36-50,0,Makhachkala
Tabasaran,Nogai,16-35,11,Makhachkala
Tabasaran,Rutulian,>50,3,Makhachkala
Tabasaran,Rutulian,36-50,3,Makhachkala
Tabasaran,Rutulian,16-35,9,Makhachkala
Tabasaran,Aghul,>50,0,Makhachkala
Tabasaran,Aghul,36-50,13,Makhachkala
Tabasaran,Aghul,16-35,7,Makhachkala
Tabasaran,Azerbaijani,>50,7,Makhachkala
Tabasaran,Azerbaijani,36-50,22,Makhachkala
Tabasaran,Azerbaijani,16-35,17,Makhachkala
Tabasaran,Tsakhur,>50,0,Makhachkala
Tabasaran,Tsakhur,36-50,0,Makhachkala
Tabasaran,Tsakhur,16-35,0,Makhachkala
Tabasaran,other,>50,0,Makhachkala
Tabasaran,other,36-50,9,Makhachkala
Tabasaran,other,16-35,7,Makhachkala
Nogai,Avar,>50,10,Makhachkala
Nogai,Avar,36-50,40,Makhachkala
Nogai,Avar,16-35,54,Makhachkala
Nogai,Kumyk,>50,48,Makhachkala
Nogai,Kumyk,36-50,80,Makhachkala
Nogai,Kumyk,16-35,129,Makhachkala
Nogai,Dargin,>50,16,Makhachkala
Nogai,Dargin,36-50,6,Makhachkala
Nogai,Dargin,16-35,20,Makhachkala
Nogai,Lezgian,>50,4,Makhachkala
Nogai,Lezgian,36-50,16,Makhachkala
Nogai,Lezgian,16-35,16,Makhachkala
Nogai,Laki,>50,20,Makhachkala
Nogai,Laki,36-50,27,Makhachkala
Nogai,Laki,16-35,20,Makhachkala
Nogai,Russian,>50,3,Makhachkala
Nogai,Russian,36-50,6,Makhachkala
Nogai,Russian,16-35,3,Makhachkala
Nogai,Tabasaran,>50,0,Makhachkala
Nogai,Tabasaran,36-50,0,Makhachkala
Nogai,Tabasaran,16-35,0,Makhachkala
Nogai,Nogai,>50,618,Makhachkala
Nogai,Nogai,36-50,1460,Makhachkala
Nogai,Nogai,16-35,1476,Makhachkala
Nogai,Rutulian,>50,0,Makhachkala
Nogai,Rutulian,36-50,0,Makhachkala
Nogai,Rutulian,16-35,0,Makhachkala
Nogai,Aghul,>50,0,Makhachkala
Nogai,Aghul,36-50,0,Makhachkala
Nogai,Aghul,16-35,0,Makhachkala
Nogai,Azerbaijani,>50,0,Makhachkala
Nogai,Azerbaijani,36-50,4,Makhachkala
Nogai,Azerbaijani,16-35,7,Makhachkala
Nogai,Tsakhur,>50,0,Makhachkala
Nogai,Tsakhur,36-50,0,Makhachkala
Nogai,Tsakhur,16-35,0,Makhachkala
Nogai,other,>50,3,Makhachkala
Nogai,other,36-50,26,Makhachkala
Nogai,other,16-35,17,Makhachkala
Rutulian,Avar,>50,14,Makhachkala
Rutulian,Avar,36-50,28,Makhachkala
Rutulian,Avar,16-35,56,Makhachkala
Rutulian,Kumyk,>50,3,Makhachkala
Rutulian,Kumyk,36-50,19,Makhachkala
Rutulian,Kumyk,16-35,18,Makhachkala
Rutulian,Dargin,>50,12,Makhachkala
Rutulian,Dargin,36-50,27,Makhachkala
Rutulian,Dargin,16-35,27,Makhachkala
Rutulian,Lezgian,>50,29,Makhachkala
Rutulian,Lezgian,36-50,74,Makhachkala
Rutulian,Lezgian,16-35,166,Makhachkala
Rutulian,Laki,>50,5,Makhachkala
Rutulian,Laki,36-50,14,Makhachkala
Rutulian,Laki,16-35,30,Makhachkala
Rutulian,Russian,>50,0,Makhachkala
Rutulian,Russian,36-50,11,Makhachkala
Rutulian,Russian,16-35,16,Makhachkala
Rutulian,Tabasaran,>50,0,Makhachkala
Rutulian,Tabasaran,36-50,16,Makhachkala
Rutulian,Tabasaran,16-35,25,Makhachkala
Rutulian,Nogai,>50,0,Makhachkala
Rutulian,Nogai,36-50,0,Makhachkala
Rutulian,Nogai,16-35,6,Makhachkala
Rutulian,Rutulian,>50,420,Makhachkala
Rutulian,Rutulian,36-50,1295,Makhachkala
Rutulian,Rutulian,16-35,1264,Makhachkala
Rutulian,Aghul,>50,0,Makhachkala
Rutulian,Aghul,36-50,8,Makhachkala
Rutulian,Aghul,16-35,39,Makhachkala
Rutulian,Azerbaijani,>50,5,Makhachkala
Rutulian,Azerbaijani,36-50,7,Makhachkala
Rutulian,Azerbaijani,16-35,4,Makhachkala
Rutulian,Tsakhur,>50,4,Makhachkala
Rutulian,Tsakhur,36-50,24,Makhachkala
Rutulian,Tsakhur,16-35,9,Makhachkala
Rutulian,other,>50,0,Makhachkala
Rutulian,other,36-50,0,Makhachkala
Rutulian,other,16-35,14,Makhachkala
Aghul,Avar,>50,0,Makhachkala
Aghul,Avar,36-50,20,Makhachkala
Aghul,Avar,16-35,55,Makhachkala
Aghul,Kumyk,>50,4,Makhachkala
Aghul,Kumyk,36-50,4,Makhachkala
Aghul,Kumyk,16-35,30,Makhachkala
Aghul,Dargin,>50,7,Makhachkala
Aghul,Dargin,36-50,7,Makhachkala
Aghul,Dargin,16-35,21,Makhachkala
Aghul,Lezgian,>50,18,Makhachkala
Aghul,Lezgian,36-50,52,Makhachkala
Aghul,Lezgian,16-35,59,Makhachkala
Aghul,Laki,>50,6,Makhachkala
Aghul,Laki,36-50,0,Makhachkala
Aghul,Laki,16-35,8,Makhachkala
Aghul,Russian,>50,0,Makhachkala
Aghul,Russian,36-50,0,Makhachkala
Aghul,Russian,16-35,0,Makhachkala
Aghul,Tabasaran,>50,0,Makhachkala
Aghul,Tabasaran,36-50,31,Makhachkala
Aghul,Tabasaran,16-35,23,Makhachkala
Aghul,Nogai,>50,0,Makhachkala
Aghul,Nogai,36-50,0,Makhachkala
Aghul,Nogai,16-35,0,Makhachkala
Aghul,Rutulian,>50,8,Makhachkala
Aghul,Rutulian,36-50,3,Makhachkala
Aghul,Rutulian,16-35,17,Makhachkala
Aghul,Aghul,>50,331,Makhachkala
Aghul,Aghul,36-50,1094,Makhachkala
Aghul,Aghul,16-35,1109,Makhachkala
Aghul,Azerbaijani,>50,3,Makhachkala
Aghul,Azerbaijani,36-50,3,Makhachkala
Aghul,Azerbaijani,16-35,6,Makhachkala
Aghul,Tsakhur,>50,0,Makhachkala
Aghul,Tsakhur,36-50,0,Makhachkala
Aghul,Tsakhur,16-35,0,Makhachkala
Aghul,other,>50,0,Makhachkala
Aghul,other,36-50,3,Makhachkala
Aghul,other,16-35,14,Makhachkala
Azerbaijani,Avar,>50,21,Makhachkala
Azerbaijani,Avar,36-50,57,Makhachkala
Azerbaijani,Avar,16-35,53,Makhachkala
Azerbaijani,Kumyk,>50,29,Makhachkala
Azerbaijani,Kumyk,36-50,44,Makhachkala
Azerbaijani,Kumyk,16-35,23,Makhachkala
Azerbaijani,Dargin,>50,22,Makhachkala
Azerbaijani,Dargin,36-50,18,Makhachkala
Azerbaijani,Dargin,16-35,34,Makhachkala
Azerbaijani,Lezgian,>50,31,Makhachkala
Azerbaijani,Lezgian,36-50,64,Makhachkala
Azerbaijani,Lezgian,16-35,58,Makhachkala
Azerbaijani,Laki,>50,7,Makhachkala
Azerbaijani,Laki,36-50,37,Makhachkala
Azerbaijani,Laki,16-35,5,Makhachkala
Azerbaijani,Russian,>50,14,Makhachkala
Azerbaijani,Russian,36-50,10,Makhachkala
Azerbaijani,Russian,16-35,4,Makhachkala
Azerbaijani,Tabasaran,>50,4,Makhachkala
Azerbaijani,Tabasaran,36-50,13,Makhachkala
Azerbaijani,Tabasaran,16-35,19,Makhachkala
Azerbaijani,Nogai,>50,0,Makhachkala
Azerbaijani,Nogai,36-50,0,Makhachkala
Azerbaijani,Nogai,16-35,10,Makhachkala
Azerbaijani,Rutulian,>50,5,Makhachkala
Azerbaijani,Rutulian,36-50,12,Makhachkala
Azerbaijani,Rutulian,16-35,12,Makhachkala
Azerbaijani,Aghul,>50,0,Makhachkala
Azerbaijani,Aghul,36-50,0,Makhachkala
Azerbaijani,Aghul,16-35,0,Makhachkala
Azerbaijani,Azerbaijani,>50,327,Makhachkala
Azerbaijani,Azerbaijani,36-50,710,Makhachkala
